Iteration,Max Fitness,Mean Fitness,Mean Links,Max Links
0,7.707,2.96,9.0,28
0,7.707457053455493,2.960234803840444,9.35,28
1,8.011,4.522,9.0,28
1,8.010518892973721,4.521752935059383,9.0,28
2,10.641,5.069,7.0,21
2,10.640894510103129,5.068639821227339,7.45,21
3,10.697,4.159,6.0,13
3,10.697136259916087,4.158651063017553,5.95,13
4,12.552,6.119,6.0,13
4,12.551824281841668,6.119319084388608,5.6,13
5,14.418,6.066,4.0,9
5,14.418437800751583,6.0656732647670415,4.15,9
6,16.006,6.623,4.0,6
6,16.006445011358394,6.623165108774762,4.1,6
7,16.186,4.932,4.0,6
7,16.18587154917906,4.932373721653315,3.95,6
8,15.447,5.7,4.0,7
8,15.447006620442998,5.700439913732621,3.75,7
9,15.306,6.698,4.0,6
9,15.305699303878308,6.697854754549104,3.6,6
10,16.054,5.942,4.0,9
10,16.05401093291272,5.941694075305778,4.1,9
11,15.896,6.985,4.0,6
11,15.895976791122315,6.984641565904306,4.0,6
12,15.855,5.39,4.0,7
12,15.85500708651876,5.3903513297125665,3.8,7
13,16.184,4.774,4.0,7
13,16.184381026869968,4.773981406374363,3.5,7
14,14.774,5.422,4.0,6
14,14.773697355272315,5.422415609029914,3.6,6
15,14.224,6.834,4.0,8
15,14.223549184268801,6.833820229966207,4.2,8
16,17.01,6.347,5.0,14
16,17.00964756786502,6.34653959676897,4.75,14
17,17.781,6.011,5.0,14
17,17.780512200384713,6.010636516306863,5.2,14
18,17.784,6.331,5.0,16
18,17.783603852572313,6.331202496284461,4.6,16
19,17.889,5.373,3.0,7
19,17.889231498412176,5.373232491165969,3.3,7
20,17.716,5.57,3.0,7
20,17.715521154734873,5.569931264724328,2.85,7
21,17.82,5.935,3.0,7
21,17.82021726954246,5.934693931492022,2.7,7
22,16.634,6.74,3.0,7
22,16.633574369344608,6.740299953685728,3.25,7
23,17.613,4.634,4.0,11
23,17.613314914863352,4.634244157473484,4.0,11
24,19.086,6.837,4.0,7
24,19.086121973641923,6.83674841893126,4.05,7
25,18.779,5.385,4.0,8
25,18.778592534123636,5.3852391316162835,3.6,8
26,14.102,6.401,4.0,10
26,14.101630950154993,6.401144917886592,3.95,10
27,15.134,5.001,4.0,11
27,15.13421648151944,5.001423690860489,4.4,11
28,13.314,6.213,4.0,11
